古代帝王的女婿，也就是公主的丈夫通常被称为什么爷	驸马爷
明朝伟大航海家郑和的原名叫什么	这种说法没有依据,因为郑和船队最远到达非洲东海岸和红海沿岸,没有从印度洋进入大西洋,所以也就没有到达加勒比海
代表作有《那片海》《天亮了》我国内地实力派女歌手是谁	女歌手 韩红
著名女词人李清照的名句“常记溪亭日暮”的下一句是什么	答案为D
被称作东方威尼斯的是哪座城市	苏州,古称吴、吴都、吴中、东吴、吴门,现简称苏
磁通量的单位是什么	韦伯(wb)
单词“worked”中，“ed”表示什么时态	过去时
87版《红楼梦》中林黛玉由哪位女演员饰演	陈晓旭(1965.10.29—2007.5.13),著名演员、1987年版电视剧《红楼梦》中林黛玉扮演者,企业家
《格林童话》中，小红帽是在看望谁的时候被狼吃掉的	外婆
北非最著名的沙漠叫什么沙漠	你说的那个沙漠就是鲁卜哈利沙漠,占了整个阿拉伯半岛的四分之一,整个沙漠均属典型的热带沙漠气候.中部夏季最热月均温在白昼时达70
出自《增广贤文》，反映古代读书人专心学习，“两耳不闻窗外事”的下一句是	一心只读圣贤书
俗话说，“寒”从人体哪个部位起	应该选择B 理由如下:“礼貌用语是.的表现,礼貌用语起着.的作用”这句是有问题的,应改为讲礼貌用语是尊重他人的具体表现
曹操《短歌行》中，“青青子衿”下一句是	青青子衿,悠悠我心是《诗经·郑风·子衿》中的原句,其中第一章的四句是:“青青子衿,悠悠我心.纵我不往,子宁不嗣音?”
中国第一部彩色故事片叫什么名字	1956年,由桑弧导演,由北京电影制片厂推出了新中国第一部彩色故事片《祝福》
俗话说“人怕出名”的下一句	1、人怕出名猪怕壮
青春文学作家郭敬明的成名作是哪部玄幻题材的小说	《幻城》
“moon cake”是我国传统节日吃的哪种糕点	1.Spring Festival-dumplings 2.Dragon Boat Festival-Rice dumplings 3.Mid-Autumn Festival-Moon cakes 4.Easter-Easter eggs 希望能给你帮助
唐代诗人王维在《九月九日忆山东兄弟》中描写的重阳节的习俗之一是在身上插什么植物	茱萸
歌曲《达坂城的姑娘》中“你要是嫁人，不要嫁给别人”，下一句是	一定要嫁给我
苏珊.B.安东尼哪天生日	C.A.D.B.B.A.A.C
温哥华是哪个国家的城市	温哥华是加拿大的一个城市,但不是首都
电影《新龙门客栈》中，饰演金镶玉的是哪位香港女演员	张曼玉 饰演
华清池位于陕西省的哪座城市	西安
张克帆原来是台湾哪个流行组合的主唱	红孩儿
中国第一次派运动员参加并夺得第一枚金牌的奥运会是在美国的哪个城市举行	洛杉矶
珠江流域水系支流之一的“东江”发源于我国哪个省	江西
传说中沉香“劈山救母”中的山位于陕西	“三山”又称“三神山”,“史记秦始皇本纪”载:“齐人徐市等上书,言海中有三神山,名曰蓬莱、方丈、瀛洲”
如今网球ATP单打世界排名第一的是来自塞尔维亚的哪位运动员	诺瓦克·德约科维奇(Novak Djokovic),1987年5月22日出生于塞尔维亚,塞尔维亚职业网球运动员
都梁的哪部小说被改编为由刘烨主演的同名电视剧	?血色浪漫
荷兰的首都是哪个城市	首都虽然设在阿姆斯特丹,但是中央政府、贝娅特丽克丝女王居住办公地、所有的政府机关与外国使馆、最高法院和许多组织都在海牙
蒙古国的首都是哪里	乌兰巴托 意思是“红色英雄城”,蒙古人民共和国首都乌兰巴托 (Ulan Bator) 是一座具有浓郁草原风貌的现代城
制作了向日葵，星夜的荷兰后印象派的画家是谁	印象派的 凡高
植物中会因为哪种物质二呈现出绿色	解答:解:(1)[5]液泡内含有细胞液,溶解着多种物质,有多种味道:酸、甜、苦、辣.(2)[3]叶绿体里具有叶绿素,叶绿素是植物进行光合作用的主要色素
在足球比赛中，裁判把运动员罚下场会使用什么牌	红
北美洲的五大湖中，面积最小的是哪一个湖泊	苏比利尔湖
脍炙人口的歌曲《同桌的你》由哪位内地男歌手原唱	老狼 男歌手原唱
上海简称什么	上海的简称“沪”和“申”的来历 先说“沪”
《倪焕之》是我国哪位著名作家的长篇代表作品	答案AA(《沉沦》改为《边城》)
一场NBA比赛分为4节，每节比赛多少分钟	12
哪个欧洲国家的大部分国土在“亚平宁半岛”上	意大利大部分国土在亚平宁半岛上
小品《昨天今天明天》中，宋丹丹饰演的白云将“秋波”解释为什么	秋天的菠菜
我们通常用“丧家”的什么动物来比喻走投无路的沮丧样子	狗/犬
武汉三镇包括汉口.武昌和	武汉分为七个城区，分别是江汉区、江岸区、桥口区、汉阳区、武昌区、洪山区、青山区
经典名曲《相思风雨中》原唱是由汤宝如跟哪位男歌手合作的	张学友
宋之问的《渡汉江》中，“近乡情更怯”的下句是什么	不敢问来人
与巩汉林合作了小品《如此包装》《打工奇遇》的著名小品的老艺术家是谁	赵丽蓉
在《水浒传》中，武松在哪家酒楼写下了“杀人者，打虎武松也”几个血字	话说张都监听信这张团练说诱嘱托,替蒋门神报仇,要害武松性命,谁想四个人,倒都被武松搠杀在飞云浦了
狗是怎么散热的	人类流汗是通过身体上的汗腺排出汗液,起到降温的作用
美剧《绯闻女孩》中，布莱尔的饰演者是哪位演员	莉顿·梅斯特
古龙小说《绝代双骄》中十大恶人之一，“笑里刀小弥陀”是谁	哈哈儿
绰号为“蝙蝠侠”的NBA球星，现在效力于热火队的球员是谁	肖恩-巴蒂尔
小说《平凡的世界》出自我国哪位著名作家之手	路遥
《白眉大侠》是由哪位著名评书表演艺术大师创作的评书作品	单田芳 评书作品
现效力于英超曼联队的纳尼是哪个国家的足球运动员	 葡萄牙
中国佛教四大名山是九华山，普陀山，峨眉山和山西省的什么山	中国四大名山是庐山、龙虎山、黄山及九华山
目前世界上人口最多的是哪个民族	汉族 汉族
法语里猫怎么说	chaton是小猫,爱人可以用 mon choux,mon petit choux之类的,意为:我亲爱的 送给猫的歌曲:la chanson dédié à mon chaton
第一位踏上月球的人是美国的哪位宇航员	阿姆斯特朗
春秋时一对著名的铸剑师夫妻，一个叫干将，另一个叫什么	莫邪
诗人秦观的《鹊桥仙》中，“两情若是久长时”下一句是什么	又岂在朝朝暮暮
为什么在网球比赛中，0分被叫做Ace	love在网球比赛中代表的是0分 lovegame就是让对方一分未得40:0胜一局 而lovegame ace就是用了一个ace球完成了lovegame
在电视机遥控器上，“menu”是表示什么的按钮	菜单 菜单
出演了电视剧《公主嫁到》中昭阳公主是香港那一位女演员	佘诗
花式九球是哪种球类体育运动的项目	体育运动项目分为游戏、体操、田径、球类、武术、国防体育、水上、冰雪和其他等
喜剧电影《花好月圆》中饰演沈梦溪的是哪位台湾男明星	任贤齐
四大天王是哪些人	大天王是佛教的护法天神,俗称“四大金刚”
成语“趋之若鹜”中的鹜指的是什么动物	答案应该选A. 成语的意思应该是象鸭子一样成群地争先恐后地跑去. 比喻成群的人争着去.这是个含有贬义的成语. :)
非洲国家里哪个最发达	c 号称非洲的美国,虽然也有一些西非国家比他富裕,但是从科技、政治地缘、人口、矿产资源,南非应该是非常最富强发达的国家
黑人约占美国人口的比例是多少	2010
比喻贪心不足的俗语“吃着碗里的”的下一句是什么	看着锅里的
连接黑海与地中海的唯一海峡是哪个海峡	土耳其海峡/黑海海峡
王安石的诗歌《元日》：“爆竹声中一岁除”下一句是什么	春风送暖入屠苏
吉林省的哪个城市有“北国春城”之称	长春
什么半岛恐怖分子最多	美国人说有,美国政府指出朝鲜窝藏恐怖分子并对其提出支持
鸡有几只脚	2个爪子 每个爪子上面有4个“脚趾”
我国青海省的省会是哪个城市	我国青海省的省会是 西宁
沟通南大西洋和南太平洋的通道是什么海峡	 麦哲伦海峡28、获得2012年台湾电影金马奖“最佳剧情片”
著名的九寨沟风景名胜区位于哪个省份	四川
意大利哪种皮萨饼最有名	意大利的著名特色饼读音,比萨饼还是披萨饼都是中文翻译过来的,各人的读法不同而已,目前多数读比萨饼这个读音
SHE三个成员分别出生于哪年	she的个人资料 Selina - Hebe - Ella 中文姓名:任家萱 生 日:1981年10月31日 出 生 地:台北市 血 型:A 身 高:163cm 体 重:45Kg 个 性:开朗
2005年获得劳伦斯新人奖的中国田径运动员是谁	?刘翔
电影《投名状》改编自清末四大奇案之一，请问是哪个奇案	你好,电影《投名状》的故事大纲改编自清末四大奇案之一的刺马案,故事内容和电影差不多
20世纪五十年代至九十年代，我国大多数旅客列车的车皮是什么颜色的	车皮是 绿色
经过对狗进行试验，最早提出“经典条件反射”的是哪位俄国科学家	巴甫洛夫
鞋儿破帽儿破，身上的袈裟破是哪部电视剧的插曲	济公 剧的插曲
秦皇岛是哪个省的	秦皇岛属于河北省地级
现代奥运会的创始人是谁	顾拜旦男爵 Pierre de Coubertin（1863-1937）
西班牙斗牛中，选手一般会选用什么颜色为主的布	红色
影视胜地宝莱坞所在地，著名的港口城市孟买是哪个国家的中药城市	影视胜地宝莱坞所在地,著名的港口城市孟买是印度的重要港口
“爱真的需要勇气，来面对流言蜚语”是哪位马来西亚歌手的歌曲	梁静茹
在英语中，动词用哪个字母标记	sb 全 somebody 某人sth something 某事!答案补充 V:动词n :名词adj:形容词O:受词VI:不及物动词S:主词VT:及物动词ad:副词art:冠词num:数词u:不
杜甫《登高》中，“无边落木萧萧下”的下一句是	因为无边不仅表现落木之宽阔更是诗人无限的忧愁
玻利维亚在哪	在南美洲中部 阿根廷的北方,智利的东北方,巴拉圭的西北方,巴西的西南方,秘鲁的东南方
湖南才传统戏《刘海砍樵》是属于什么剧种	花鼓戏
介绍他人卖淫嫖娼应受到哪些处罚	第六十六条 卖淫、嫖娼的,处十日以上十五日以下拘留,可以并处五千元以下罚款;...2010-08-22 嫖娼如何处罚
什么岛屿的经济最发达	吕宋岛位于菲律宾群岛的北部,它是菲律宾面积最大、人口最多、经济最发达的岛屿
歇后语：“兔子的尾巴”，下一句是什么	长不了长不了
康熙时期，中国与哪个国家签订了《尼布楚条约》	康熙时期,中国与俄国签订了《尼布楚条约》
“卡布奇诺”、“拿铁”都是哪种饮品的知名种类	咖啡 的知名种类
有“大耳朵杯”之称的圣伯莱德杯是什么国际足球比赛的冠军奖杯	欧洲冠军联赛
世界第一大岛格陵兰岛属于哪个国家	丹麦属地
佛教传入中国后兴建的第一座寺院，位于河南洛阳，号称“中国第一古刹”的是哪座寺院	佛教传入中国的具体时间和年代，现在很难考定
本帮菜是哪个城市地方菜的名称	苏浙汇就是做创新上海菜的呀,在传统上海菜的基础上还结合了国内外各个菜系的特色,很符合上海的特色——海纳百川
莎士比亚的喜剧《威尼斯商人》中著名的“四大吝啬鬼”之一的人物叫什么	夏洛克
演唱《桃花朵朵开》的马来西亚歌手陈庆祥的艺名是什么	阿
雅典奥运会男子10米气手枪金牌获得者，中国国家射击队总教练是谁	现任中国国家射击队副领队、总教练兼运动员
有“陶都”之称的宜兴位于哪个省	江苏
中国哪个传统节日又叫“团圆节”	中秋节别称:月夕、秋节、仲秋节、八月节、八月会、追月节、玩月节、拜月节、女儿节、团圆
亚当和夏娃因为偷吃了伊甸园的哪种水果而被驱逐到人间	苹果 驱逐到人间
演唱《桃花朵朵开》的马来西亚歌手陈庆祥的艺名是什么	阿
我国依法对商品施的“强制性产品认制度”是由哪三个相同的英文字母组成	CCC
新生儿的平均重量是多少	1
英文单词“is”的过去式是哪三个英文字母	was
为中国赢得首枚奥运会跳板跳水金牌的跳水“女皇”是谁	“女皇”是 高敏
乔峰是金庸哪本小说里的人物	《天龙八部》
我国的二代身份证的最后一位如果是10会用哪个字母来代替	 X
这套房间的居住面积有多大	78÷(1+20%)=65(万元)
“魂”字第一笔是横，第七笔是	横折
薄公英靠什么传播种子	蒲公英是菊科植物,我们看到的蒲公英的花实际是个头状花序,由很多的小花组成
棕色人种生活在哪块大陆	棕色人种主要分布在澳大利亚、新西兰以及南太平洋的岛屿上
香港国际会展中心坐落在香港的哪个港口旁	维多利亚港
90年代流行歌曲《我想去桂林》《大头皮鞋》的原唱者是谁	韩晓
《百家姓》中“赵钱孙李”的下一句是	周吴郑王 周吴郑王
“唐宋八大家”中，有两位是唐代人，一位是柳宗元，还有一位是谁	还有一位是韩愈
自由式摔跤以身体哪个部位着地算输	肩部
我国第一部文学理论和评论专著是南北朝时期刘勰的哪本著作	《文心雕龙》
在伦敦奥运会上因场地湿滑导致摔伤而无缘奖牌的中国女子羽毛球队选手叫什么名字	羽毛球队选手 汪鑫
体积最大的动物是什么	蓝鲸是目前世界上体积最大的动物,成年蓝鲸体长可达33米,重可达190多吨,比陆地上最大的动物大象还重10-30倍或150头牛的重量 一只成年蓝鲸体形之大
日常使用的电池上标有“AA”的是几号电池	5号电池(即AA)是电池种类之一,其一般尺寸为直径14mm,高度49mm
黄百鸣拍的鬼怪题材的系列电影是什么系列	开心鬼\\\\
成语“百尺竿头”的下句是	你好,百尺竿头,更进一步
著名的“圣索菲亚大教堂”位于现在的哪个国家	伊斯坦布尔(土耳其)
形容夫妻吵架没有隔夜仇，常会说“床头打架”，下一句是什么	床尾
周杰伦的哪首歌曲与王羲之的一篇书法作品同名	《兰亭序》
距离单位中，一公里等于多少米	1000
男性称妹妹的女儿叫什么	外甥女
一米等于几尺(市尺)	一米等于 3尺
日常生活中我们把自己动手创作制作称为的英文简称	DIY
比喻围攻这个国家是为了救那个国家，三十六计中的第二计是哪一计	围魏救赵
有清洁皮肤和治疗疾病作用的桑拿浴发源于欧洲哪个国家	芬兰
罗马尼亚的首都叫什么名字	布加勒斯特 布加勒斯特
中国有记载的古代史从哪年到哪年	最早的记录是公元前841年国人暴动,这是有确切纪年的事件
国际上用“K”表示含金量，18k金表示含金量百分比为百分之多少	24
第一支获得女足世界杯冠军的亚洲国家是哪个国家	日本
我国四大家鱼，鲢鱼、鳙鱼，青鱼和什么鱼	草
现代钢琴按形状分，主要为立式钢琴和什么钢琴	三角钢琴
澳门地区包括哪几个岛屿	澳门位于珠江口西侧,背靠珠江三角洲,由氹仔岛、路环岛和澳门半岛三部分组成.故选:C
人体的血型有哪几种	还有Rh血型（Rh阴性、Rh阳性）；JK（a-b-）血型；Lan（-）血型；M-N血型；Kell-Cellano血型；特殊ABO血型（孟买型、亚孟买血型）等等 血液内部的组成
电影《孔雀》的导演是哪位摄影师出身的电影人	有人知道电影《力王》的香港导演蓝乃才的事情么 ...主要作品有《原振侠与卫斯理》、《俾捉鬼》、《孔雀...只知他1950年生于香港,师从日本,摄影出身
京津沪渝分别于哪年被确立为直辖市	一般来说直辖市的各区都是正地级,其所辖街道办,乡镇(如北京朝阳区还辖有很多乡镇)都是正处级,郊区、新区和县一般是副地级,也有正地级的
翻滚的翻字由多少笔画组成	十八画
西方国家说的“毕达哥拉斯定理”就是中国的什么定理	毕达哥拉斯定理一般指勾股定理 勾股定理是一个基本的初等几何定理,直角三角形两直角边的平方和等于斜边的平方
我们通常用“多少不笑百步”比喻没有自知之明的人	3
法国作家雨果的哪部长篇小说讲述了主人公冉.阿让的赎罪历程	悲剧世
深圳位于什么地方	深圳市位于祖国的南疆
成语“独占鳌头”中，“鳌头”指的是排名第几	甲冠天下,一马当先,首屈一指连中三元,天下第一
代表作有《成均馆绯闻》《屋塔房王世子》《想你》等电视剧的韩国男艺人是	朴有天
陇海铁路是从江苏连云港通往哪个城市的铁路干线	兰州 的铁路干线
在缅甸和泰国，皇室出行为了表示尊贵，出行时会骑在哪种动物的背上	大象
葡萄牙航海家迪亚士发现的好望角在最初叫什么角	风暴角
在越战期间，美国哪位运动员因拒绝服兵役而被剥夺拳王称号	穆罕默德·阿里在越战期间,他拒绝加入美国军队服役
金庸小说《倚天屠龙记》中，紫杉龙王的女儿叫什么名字	小昭
为什么必须血型相同才能输血	因为人体有免疫功能，如果不同血型的话，会产生免疫排斥，导致溶
在鸿门宴上多次示意项羽杀掉刘邦，又指使项庄舞剑进行行刺的谋士是谁	秦末农民战争中为项羽主要谋士,被项羽尊为“亚父”
急救电话号码是多少	12001190
雅典奥运会与2004年哪天到哪天举行	第28届夏季雅典奥运会于2004年8月13日至29日在希腊首都雅典举
王翰的《凉州曲》中“葡萄美酒夜光杯”的下一句是什么	凉州词 唐-王翰 葡萄美酒夜光杯, 欲饮琵琶马上催. 醉卧沙场君莫笑, 古来征战几人回. 都是原句
《星条旗永不落》是哪个国家的国歌	《星条旗永不落》(The Stars and Stripes Forever),美国国家进行曲
代表作《玩的就是心跳》、《顽主》等，以调侃为其语言最大特色的作家是谁	王朔
电视剧《甄嬛传》里饰演女主角“甄嬛”的是我国内地哪位女明星	孙俪
申请小型汽车驾照必须在18周岁以上，多少周岁以下	18
第五十一届世界乒乓球团体锦标赛在哪个欧洲国家举行	德国 国家举
俗话说“公说公有理”，下一句是	婆说婆有理
苏轼的词《江城子.密州出猎》中，“亲射虎，看孙郎”中的“孙郎”指哪一位三国人物	孙权曾骑马射虎,马被虎抓伤,他用长枪投刺,虎被吓退,此处是苏轼以孙权自比
宋氏三姐妹中的宋霭龄的丈夫是哪位民国时期的著名人物	孔祥熙
足球运动员宣布“挂靴”，表示什么意思	"挂靴"一词由"挂冠"转义而来,顾名思义,即把球靴挂起来,再也不穿了
大陆漂移假说是什么时间提出的	1910年的某一天,德国气象学家魏格纳(公元1880
机动车驾驶人计分达到多少分且拒不参加交管部门的学习和考试，驾驶证会被吊销	1
我国春秋时期哪位先贤发现了小孔成像原理	墨子
杭州名菜西湖醋鱼的别称是什么	宋嫂
统计法在现代社会中的重要作用有哪些	主要有两大作用: (一)有效地、科学地组织统计工作,推进统计工作的现代化进程
著名NBA球员勒布朗詹姆斯目前是效力于哪那支球队	迈阿密热火
我国一级保护动物，并与一款奶糖同名的是哪种猴类	金丝猴
计算机的主频是多少	1
三角函数中cos表示余弦，请问sin表示什么	是在直角三角形中,sin是对边比斜边
《权利法案》是哪国革命中的重要法律文件	英国的重要法律文件
碳酸氢钠的水溶液，含有弱碱性，饮用可中和人体内酸碱平衡的水俗称什么水	苏打水
在2012年伦敦奥运会中，获得乒乓球女子单打冠军的人是谁	2012年伦敦奥运会中国乒乓球参赛运动员名单一览: 男选手:王皓、张继科、马龙 替补:许昕 女选手:李晓霞、郭跃、丁宁 替补:刘诗雯
名茶“毛峰”以哪座名山出产的为最佳	黄山
盛产石油的中东国家伊朗首都是那座城市	求助:中东地区有哪些国家,各个国家分别有哪些主要城
青海湖的海拔高度是多少	3195
范仲淹名篇《岳阳楼记》中的岳阳楼在我国哪个省	湖南哦
办理个人身份证须携带什么证件到户籍管理处办理	户口本
世界名曲《欢乐颂》是贝多芬第几部交响曲中的篇章	第九 第九 第九
现效力于NBA湖人队的小前锋“慈世平”改名之前叫什么名字	罗恩•阿泰斯特10、“反身、转体、臂立”是哪个体育项目的动作术语?跳水11、金庸小说《倚天屠龙
在2012年NBA总决赛中，三届最有价值球员谁终于实现了职业生涯的总冠军梦想	当然是小皇帝勒布朗.詹姆斯了,那时他还是热火队三巨头之一,王牌儿啊!
电影《杨门女将之军令如山》中扮演佘太君的是哪位香港女明星	郑佩佩
“南锣鼓巷”是我国哪个城市的最古老的特色历史文化街区之一	北京
当今世界传播最广、信徒人数最多的是哪个宗教	信徒最多,规模最大,传播最广的肯定是基督教了
《西游记》中，猪八戒使用的武器叫什么名字	猪八戒使的兵器名为“上宝沁金钯”,俗称“九齿钉钯”,是玉帝钦赐的宝物
曾经获得24年世界冠军并于2008年举行海上婚礼的是我国哪位乒乓球女运动员	王楠
金庸的十五部小说，哪部未被收进对联“飞雪连天射白鹿，笑书神侠倚碧鸳”	古龙小说--对联 《古龙70部小说之五对联》 一 洗(碧血洗银枪) 剑(湘妃剑) 浣(浣花洗剑录) 花(护花铃) 新(新月传奇) 月(月异星邪) 残(残金
“跟我走吧，天亮就出发”这首《快乐老家》的原唱是哪位内地女歌手	原唱是 陈明
我国历史上哪个朝代的疆土地域面积最大	元朝,元朝中国历史上,领土最大的时候是在元朝,元朝不仅对外关系空前发展,由亚洲推广到欧洲和非洲,而且它的疆域辽阔广大,在我国历史上是空前的
1990年10月8日，中国内地第一家麦当劳餐厅在广东省的哪座城市开业	深圳 深圳
成语“眼观六路”的下一句是什么	你好,很高兴回答你的问题这个成语是【眼观六路,耳听八方】
本轮欧债危机最主要的导火索是哪个欧洲国家	希腊
我国自主研制并发射的首个月球探测器叫什么名字	嫦娥一号卫
美国国家美式足球联盟的年度冠军赛叫什么名字	C C光怪陆离:形容奇形怪状,色彩繁杂;比喻事物离奇多变
因淮南王刘安主持撰写而得名的一部西汉时期的论文集是什么	淮南子/淮南鸿烈/ 刘安子
王平现在多少岁了	5
戏曲及小说《杨家将》中，穆桂英是杨家将中谁的妻子	没有
“出师未捷身先死，长使英雄泪满襟”是出自杜甫哪部作品中的名句	“出师”句指的是诸葛亮为了伐魏,曾经六出祁山的事
《西游记》中的唐僧是哪位神仙转世而来	金蝉子
北约包括哪些国家	北约成员国现已达26个
哪个月最热	北半球大陆:最冷1月,最热7月北半球海洋:最冷2月,最热8月南半球大陆:最冷7月,最热1月南半球海洋:最冷8月,最热2月因为地球像一口大锅,太阳像火
我们常说“不吃什么肉惹身臊”	羊肉 惹身臊
电影《赤壁》中，林志玲的经典台词“萌萌，站起来”，请问“萌萌”是一直什么动物	萌萌”是 马
ADSL的速度能达到多少	4
世界上面积最大的湖是哪个	1、里海(中亚):虽然叫海,但不是海,是最大的湖泊,同时也是最大的咸水湖 里海(Caspian Sea)是世界最大的内陆湖,位于辽阔平坦的中亚西部和欧洲东南端
“杏林春满”和“誉满杏林”，“杏林”是称颂哪种职业的人	应该是老师,我们俗称的“园丁”
电影和电视剧的职员各有哪些职责	这个问题我也一直在和网友们探讨
儿歌《蓝精灵》，蓝精灵齐心合力打败了哪个巫师	格格巫
我们吃的胡萝卜是植物的哪个部分	食用部位是肉质根,不是茎的部位
美国历史上第一所高等学府是哪个学校	美国历史上第一所高等学府是哈佛大学
总长度约为42公里的长跑我们称之为什么运动	 马拉松 第二轮 梁倩—刘诚杰
连接红海与亚丁湾海峡是什么海峡	曼德海峡
寓言故事“刻舟求剑”讲的是春秋战国时期哪个诸侯国人的故事	“刻舟求剑 ”是《吕氏春秋·察今》吕不韦记述的一则寓言,说有个楚国人,坐船渡河时不慎把剑掉入河中,他在船上用刀刻下记号,曰:“这是我的剑掉
经典游戏《超级玛丽》中，玛丽兄弟中的弟弟在游戏中戴着什么颜色的帽子	那个名字很傻 恐龙快打
三国时期，以少胜多的大型战役有官渡之战，赤壁之战和什么战役	夷陵之战
NBA球员卡梅隆·安东尼是从哪只球队转会至纽约尼克斯队的	丹佛掘金
1939年毛主席针对大生产提出的口号“自己动手”的下一句是	丰衣足
水温最高的海是哪个	在相同的太阳辐射条件下,海洋表面和陆地表面温度的变化有很大的不同.纬度相同的地方,在夏季,海洋上气温低些,陆地上
明朝的首都在今天叫南京，而在当时叫什么	应天
卜学亮的《子曰》中“孔子的中心思想是个什么字”	孔子的中心思想是 仁
拍摄过电视剧《永不瞑目》《奋斗》《男人帮》等剧的是我国哪位导演	赵宝刚
我们平时所说的美国的“德州”是对美国哪个州的简称	德克萨斯州
内地童星金铭在8岁时拍摄的第一部琼瑶电视剧是什么	婉君
丹江是哪条河的支流	丹江，古称丹水、淅水、粉青江、黑江，是流经陕西省、河南省和湖北省的一条河流，为汉水的支流
世界上最后一个独立的殖民地，旧名西南非洲的是哪个国家	1990年3月21日晨零时,非洲大陆最后一块殖民地纳米比亚庄严宣告独立
俗语“嫁出去的女儿”的下一句是什么	泼出去的水
副主席每届任期多少年	《中华人民共和国宪法》第七十九条规定，国家主席、副主席每届任期为五年，连续任职不得超过两届
中国四大石窟之一的“麦积山石窟”位于我国哪个省	甘肃
《三国演义》中“官渡之战”中交战双方的指挥官分别是	袁绍曹操
《红楼梦》中金陵十二钗中的四春是指：元春、迎春、惜春和谁	探春
百合的别名是什么	别称:强瞿、番韭、山丹、倒仙
老子的著名思想"天法地，地法人，天法道"的下一句是什么	“人法地,地法天,天法道,道法自然
人们常说“蓬莱仙境”中的“蓬莱”位于哪个省	山东
奥运火炬是纪念谁	1936年柏林奥运会首次在希腊奥林匹亚首次举行了圣火点燃仪式和火炬传递
体坛双胞胎“李大双”“李小双”从事的是什么项目	体操哦
美国经典战争电影之一《拯救大兵瑞恩》中的“Ryan”是由哪位著名男影星饰演	马特达蒙
故宫乾清宫上的牌匾“正大光明”四字最早是由哪位清代皇帝所书	顺治
连接红海和亚丁湾的是哪个海峡	曼德海峡
比目鱼吃什么	鱼和虾都行,可以加点菜,也可以网购专门的饲料,最主要的是要注意喂养的方式,如什么时候要日晒,一天换几次水,这些在网上都搜得到的
军事上的“飞毛腿”指的是哪种武器	指的是 导弹
我国南北朝时期北朝建立的第一个朝代是什么	南朝第一个王朝就是刘裕所建立的宋朝,其后就是齐,梁,陈
地球为什么会自转	在地球形成的初期，各种尘埃围绕地心都有一个微小的角动量，在万有引力作用下，尘埃逐渐向地心聚集
秦朝后面是什么朝代	. 秦朝 前221年 - 前206年 . 西楚 前206年 - 前202年 . 汉朝 前206年 -
灭亡南宋，建立了幅员辽阔的元朝的皇帝是谁	元朝的皇帝 忽必烈
我们常说的“一打”啤酒是指多少瓶啤酒	一打:十二个为一打
9的立方是多少	9
在金庸武侠小说中，丐帮帮主所持的棍棒被称为什么	打狗棒
王维《相思》中，“愿君多采撷”的下一句是什么	此物最相思
诗歌《浪淘沙令》中“独自莫凭阑，无限江山”的下一句是	浪淘沙令 帘外雨潺潺,春意将阑. 罗衾不耐五更寒. 梦里不知身是客,一晌贪欢. 独自莫凭栏,无限江山, 别时容易见时难. 流水落花春去也,天上人间
《套中人》《小公务员之死》的作者是哪位著名讽刺小说家	契诃夫
全球最大的连锁超市叫什么	沃尔玛
吃饭要细嚼慢咽，米饭的哪种成分会被唾液中的酶分解为麦芽糖	淀粉
《金太狼的幸福生活》中，李小璐饰演的是哪个角色	李小璐饰演的角色是米小米
电视剧《西游记》中猪八戒的法号是什么	悟能哦
如果发生火灾该怎么办	1、要镇定,要了解一点,大部分在火灾中丧生的人都不是烧死的,而是被烟熏死的
世界环境日是哪天	6月5日
扶桑和东瀛指的是哪个亚洲国家	日本
意大利位于欧洲南部三大半岛中的哪个半岛上	亚平宁半岛
台湾歌手张雨生的成名曲是哪首歌	我的未来不是梦
旧时在母亲怀孕时就为子女定下婚约用哪个四字成语来表示	指腹为婚
我们说“12点一刻”的一刻是指多少分钟	15
2005年的春节是阳历哪天	2月8日
公认为四大时装周之首的时装周在哪个城市举办	公认为四大时装周之首的时装周在哪个城市举办? 米兰
俗话说“常在河边走”的下一句是什么	?哪有
大选究竟具体指什么	campaign trail 竞选活动trail [treil]n.踪迹,小径,尾v.拖,尾随,追踪Trail:障碍检验赛|余波|痕迹T_Trail:轨迹X-Trail:奇骏|日产|奇峻
曹植的《七步诗》中“本是同根生”的下一句是什么	典故出自南朝刘义庆的《世说新语-文学》:文帝尝令东阿王七步作诗,不成者行大法
英语中睡觉与某种动物发音谐音，所以失眠者经常数什么动物	羊 sleep
目前男子110米栏的世界纪录保持者是谁	楼兰
空气中含量大约占百分之七八十的是哪种气体	氮气
津巴布韦的首都在哪	哈拉雷( Harare) 旧称“索尔兹伯里”
由明朝科学家宋应星编纂，世界上第一部关于农业和手工业生产的综合性著作叫什么名字	宋应
《金石录》是由李清照和哪位金石学家一起撰写的	 赵
唐代诗人王之涣的《登鹳雀楼》中，“欲穷千里目”下一句是	多高并不重要,重要的是,上越高的楼,看的就越远!
“东和孙权，北拒曹魏”是哪位三国时期蜀国谋士的主张	诸葛亮
有“桑巴军团”之称足球国家队是哪里	辛苦了 这个很有用 收藏了 谢谢
“出来混，迟早是要还的”是出自哪部香港警匪电影系列中的经典台词	《无间道》
哪种设备功率大耗电少呢	关键还是看两者的乘积.由W=Pt可知,耗电量等于功率*时间对于上面的例子,大功率电器耗电:1.5kW*0.25h = 0.325 kWh 即0.325度电小功率电器耗电:1kW*
